country_code,region_id,income_id,info_system_SW_mgmt,national_waste_agency,national_law_for_SW_mgmt,PPP_rules_and_regulations,population,MSW_generated_tons_year,compost_percent,recycling_percent,gdp_inhab
TCD,SSF,LowIncome,no,no,no,no,11887202.0,1358850.53,0.0,0.0,1063.55
TGO,SSF,LowIncome,no,yes,yes,no,7228915.0,1109030.45,1.8,2.0,589.97
THA,EAS,MiddleUpperIncome,no,yes,yes,yes,68657600.0,26853366.0,0.0,19.1,5928.18
TJK,ECS,LowIncome,no,yes,yes,yes,8177809.0,1787400.0,0.0,0.0,1034.36
TKM,ECS,MiddleUpperIncome,no,yes,yes,yes,5366277.0,500000.0,0.0,0.0,7372.59
TLS,EAS,LowMiddleIncome,no,yes,yes,yes,1268671.0,63875.0,0.0,0.0,2967.73
TON,EAS,MiddleUpperIncome,no,yes,yes,yes,104951.0,17238.20175,0.0,0.0,3870.74
TTO,LCN,HighIncome,yes,yes,yes,yes,1328100.0,727874.0,0.8,0.0,16203.56
TUN,MEA,LowMiddleIncome,yes,yes,yes,yes,11143908.0,2700000.0,5.0,4.0,4368.49
TUR,ECS,MiddleUpperIncome,no,yes,yes,yes,78271472.0,31283000.0,1.0,0.0,14341.26
TUV,EAS,MiddleUpperIncome,no,yes,yes,no,11097.0,3989.4865,0.0,15.0,3533.94
TWN,EAS,HighIncome,no,no,yes,yes,23434000.0,7336000.0,0.0,0.0,35895.51301587302
TZA,SSF,LowIncome,no,no,yes,no,49082997.0,9276995.0,0.0,0.0,952.98
UGA,SSF,LowIncome,no,no,no,no,35093648.0,7045049.836,0.0,6.0,783.13
UKR,ECS,LowMiddleIncome,yes,yes,yes,yes,45004645.0,15242025.0,0.0,3.2,2755.28
URY,LCN,HighIncome,no,yes,yes,yes,3431552.0,1260139.5086500002,0.0,8.0,14093.6
USA,NAC,HighIncome,yes,yes,yes,yes,318563456.0,258000000.0,0.0,34.6,53114.47
UZB,ECS,LowMiddleIncome,no,yes,yes,yes,29774500.0,4000000.0,0.0,0.0,2098.07
VCT,LCN,MiddleUpperIncome,yes,yes,yes,no,109455.0,31561.34925,0.09,0.0,6662.69
VEN,LCN,MiddleUpperIncome,no,no,yes,no,29893080.0,9779093.14,0.0,0.0,7332.349814814818
