country_code,region_id,income_id,compo_organic,compo_glass,compo_metal,compo_other,compo_paper_cardboard,compo_plastic,info_system_SW_mgmt,national_waste_agency,national_law_for_SW_mgmt,PPP_rules_and_regulations,population,MSW_generated_tons_year,compost_percent,recycling_percent,gdp_inhab
LBN,MEA,MiddleUpperIncome,52.5,3.5,5.5,11.0,16.0,11.5,no,yes,no,no,5603279.0,2040000.0,15.0,8.0,7658.26
LBY,MEA,MiddleUpperIncome,70.1,3.1,4.3,3.8,5.5,7.5,no,yes,no,no,6193501.0,2147596.47175,0.0,0.0,5943.14
LCA,LCN,MiddleUpperIncome,45.0,7.0,5.0,11.0,10.0,22.0,yes,yes,yes,yes,177206.0,77616.228,0.1,0.0,8407.47
LIE,ECS,HighIncome,37.6,5.0,12.5,9.1,30.3,5.4,no,yes,yes,no,36545.0,32382.0,0.0,64.6,35895.51301587302
LKA,SAS,LowMiddleIncome,62.0,2.0,3.0,13.0,7.0,7.0,yes,yes,yes,no,21203000.0,2631650.0,5.0,12.79,3768.67
LTU,ECS,HighIncome,40.4,8.65,2.75,44.05,10.05,10.15,no,yes,yes,yes,2904910.0,1300000.0,10.15,22.92,15744.19
LUX,ECS,HighIncome,30.0,4.0,2.0,27.0,19.0,18.0,yes,yes,yes,no,569604.0,356000.0,19.66,28.37,110967.03
LVA,ECS,HighIncome,46.7,21.4,2.6,9.7,6.1,7.7,no,yes,yes,yes,1977527.0,857000.0,5.48,21.23,14599.8
MAC,EAS,HighIncome,3.1,3.3,1.7,3.1,58.7,7.9,yes,yes,yes,yes,612167.0,377942.0,0.0,20.0,52144.03
MAR,MEA,LowMiddleIncome,60.0,2.0,2.5,6.0,9.0,8.0,no,no,yes,yes,34318082.0,6852000.0,1.0,8.0,3344.71
MDA,ECS,LowMiddleIncome,55.0,4.0,3.0,23.0,5.0,10.0,no,yes,yes,yes,3554108.0,3981200.0,0.0,15.32,2069.38
MEX,LCN,MiddleUpperIncome,52.4,5.9,3.4,12.1,13.8,10.9,yes,no,yes,yes,125890949.0,53100000.0,0.0,5.0,10001.01
MHL,EAS,MiddleUpperIncome,8.0,2.0,6.0,31.0,11.0,13.0,no,yes,yes,no,52793.0,8614.0,6.0,30.8,3391.39
MKD,ECS,MiddleUpperIncome,29.3,4.1,2.5,19.8,12.8,13.900000000000002,yes,yes,yes,yes,2081206.0,796585.0,0.1,0.18,5249.22
MLI,SSF,LowIncome,17.5,1.0,3.5,72.5,3.5,2.0,no,no,no,yes,16006670.0,1937354.44,0.0,0.0,838.51
MLT,MEA,HighIncome,52.0,6.0,4.0,9.5,18.0,12.0,yes,yes,yes,yes,431874.0,269000.0,0.0,6.69,27481.34
MNE,ECS,MiddleUpperIncome,33.82,8.97,2.9,19.46,13.72,18.42,yes,yes,yes,no,622159.0,332000.0,0.0,5.42,7494.6
MNP,EAS,HighIncome,43.6,5.5,10.0,9.3,10.9,16.5,no,yes,yes,no,54036.0,32761.4145,0.0,36.0,19464.53
MRT,SSF,LowMiddleIncome,4.8,4.0,4.2,59.7,7.3,20.0,no,no,yes,no,3506288.0,454000.0,0.0,8.0,1589.76
MYS,EAS,MiddleUpperIncome,46.0,3.0,3.0,9.0,14.0,15.0,no,yes,yes,yes,30228017.0,12982685.0,1.0,17.5,11381.9
NCL,EAS,HighIncome,43.6,5.5,10.0,9.3,10.9,16.5,no,no,yes,no,278000.0,108157.384,0.0,0.0,35895.51301587302
NLD,ECS,HighIncome,35.0,5.4,4.3,20.24,21.0,14.0,yes,yes,yes,no,16939923.0,8855000.0,27.1,24.61,52546.63
NOR,ECS,HighIncome,15.49,4.6,6.12,13.15,26.57,2.25,yes,yes,yes,yes,5188607.0,2187000.0,16.69,26.16,91116.15
NPL,SAS,LowIncome,52.39,4.36,1.9,7.12,18.21,15.14,no,yes,yes,yes,28982771.0,1768977.49,2.87,0.0,685.12
NRU,EAS,MiddleUpperIncome,43.6,5.5,10.0,9.3,10.9,16.5,no,yes,yes,no,13049.0,6191.7505,0.0,0.0,9650.57
NZL,EAS,HighIncome,28.0,4.0,4.5,37.0,7.0,8.0,yes,yes,yes,yes,4692700.0,3405000.0,0.0,0.0,37532.46
PAK,SAS,LowMiddleIncome,30.0,6.0,4.0,20.0,13.0,9.0,no,yes,no,yes,193203476.0,30760000.0,2.0,8.0,1179.41
PAN,LCN,HighIncome,46.4,5.8,3.8,5.7,26.3,12.0,no,no,yes,no,3969249.0,1472262.2151499996,0.0,0.0,11284.01
PER,LCN,MiddleUpperIncome,50.43,3.05,2.64,21.7,7.44,10.52,yes,yes,yes,yes,30973354.0,8356711.13,0.0,4.0,6252.25
PHL,EAS,LowMiddleIncome,52.31,2.34,4.22,21.52,8.7,10.55,yes,yes,yes,yes,103320222.0,14631922.9,0.0,28.0,2752.11
PLW,EAS,HighIncome,26.0,5.0,10.0,9.0,15.0,32.0,no,no,yes,no,21503.0,9426.7455,0.0,0.0,10477.98
POL,ECS,HighIncome,37.27,10.07,2.17,26.69,11.27,12.13,no,yes,yes,yes,37986412.0,10863000.0,16.11,26.39,15061.49
PRI,LCN,HighIncome,13.1,2.4,10.4,23.8,19.4,10.4,no,yes,yes,yes,3473181.0,4170953.0,0.0,14.0,26784.85
PRT,ECS,HighIncome,36.49,6.73,1.85,27.680000000000003,13.64,10.72,yes,yes,yes,yes,10401062.0,4710000.0,14.12,16.23,22280.92
PSE,MEA,LowMiddleIncome,59.1,2.4,2.7,11.5,10.1,14.2,yes,yes,yes,no,4046901.0,1387000.0,0.5,0.5,2907.71
PYF,EAS,HighIncome,47.0,3.0,3.0,29.0,16.0,2.0,no,yes,no,no,273528.0,147000.0,0.0,39.0,35895.51301587302
QAT,MEA,HighIncome,57.0,4.0,9.0,5.0,11.0,14.0,yes,yes,yes,no,2109568.0,1000990.016,0.0,3.0,80899.33
ROU,ECS,MiddleUpperIncome,56.26,4.89,2.5,10.68,11.34,12.33,yes,yes,yes,yes,19815481.0,4895000.0,7.46,5.67,10104.08
RUS,ECS,MiddleUpperIncome,28.41,16.82,1.83,19.03,19.7,14.21,yes,yes,yes,yes,143201676.0,60000000.0,0.0,4.5,11553.17
SAU,MEA,HighIncome,45.5,4.0,5.0,2.5,27.0,11.0,yes,yes,yes,no,31557144.0,16125700.584,0.0,15.0,21867.28
SDN,SSF,LowMiddleIncome,51.4,3.5,1.7,18.9,11.8,12.7,no,no,no,no,38647803.0,2831291.0,0.0,0.0,1970.34
