country_code,region_id,income_id,compo_organic,compo_glass,compo_metal,compo_other,compo_paper_cardboard,compo_plastic,info_system_SW_mgmt,national_waste_agency,national_law_for_SW_mgmt,PPP_rules_and_regulations,population,SpW_construction_waste_tons_year,SpW_e_waste_tons_year,SpW_hazardous_waste_tons_year,SpW_medical_waste_tons_year,MSW_generated_tons_year,compost_percent,recycling_percent,gdp_inhab
PRT,ECS,HighIncome,36.49,6.73,1.85,27.680000000000003,13.64,10.72,yes,yes,yes,yes,10401062.0,2743219.0,170078.0,701228.0,817492.0,4710000.0,14.12,16.23,22280.92
PSE,MEA,LowMiddleIncome,59.1,2.4,2.7,11.5,10.1,14.2,yes,yes,yes,no,4046901.0,,,62621.0,4572.0,1387000.0,0.5,0.5,2907.71
PYF,EAS,HighIncome,47.0,3.0,3.0,29.0,16.0,2.0,no,yes,no,no,273528.0,,,,360.0,147000.0,0.0,39.0,35895.51301587302
QAT,MEA,HighIncome,57.0,4.0,9.0,5.0,11.0,14.0,yes,yes,yes,no,2109568.0,9706885.0,29000.0,105000.0,450000.0,1000990.016,0.0,3.0,80899.33
ROU,ECS,MiddleUpperIncome,56.26,4.89,2.5,10.68,11.34,12.33,yes,yes,yes,yes,19815481.0,162995232.0,132268.0,590300.0,915888.0,4895000.0,7.46,5.67,10104.08
SAU,MEA,HighIncome,45.5,4.0,5.0,2.5,27.0,11.0,yes,yes,yes,no,31557144.0,,508000.0,697000.0,25207.0,16125700.584,0.0,15.0,21867.28
SLB,EAS,LowMiddleIncome,42.8,6.65,13.15,3.7,6.45,22.35,no,yes,yes,no,563513.0,,400.0,,273.34,179971.964375,0.0,0.0,1598.65
SRB,ECS,MiddleUpperIncome,37.62,5.44,1.38,16.72,13.57,12.73,yes,yes,yes,yes,7095383.0,46707848.0,14388.0,13475026.0,32888.0,1840000.0,0.0,0.76,5821.82
SUR,LCN,MiddleUpperIncome,57.0,3.0,3.0,24.0,,11.0,no,no,no,no,526103.0,,5000.0,,1270.2,78619.79914999999,0.0,0.0,8605.5
SVK,ECS,HighIncome,42.0,19.0,2.0,1.0,25.0,11.0,yes,yes,yes,yes,5423801.0,4023409.0,30911.0,375688.0,558605.0,1784000.0,7.29,7.62,19299.95
SVN,ECS,HighIncome,,,,,,,no,yes,yes,no,2063531.0,2071792.0,26359.0,155229.0,227873.0,926000.0,7.67,46.44,24478.31
SWE,ECS,HighIncome,23.34,9.15,9.2,,36.4,6.58,yes,yes,yes,no,9799186.0,152012352.0,721671.0,2568154.0,1315108.0,4377000.0,15.63,32.37,57187.06
SYR,MEA,LowIncome,57.0,3.0,4.0,22.0,7.0,7.0,no,yes,yes,no,20824893.0,,,68000.0,4600.0,4500000.0,1.5,2.5,743.6455172413795
THA,EAS,MiddleUpperIncome,65.52,3.04,1.85,4.74,7.6,17.59,no,yes,yes,yes,68657600.0,1100000.0,384233.0,3445000.0,53868.0,26853366.0,0.0,19.1,5928.18
TLS,EAS,LowMiddleIncome,43.6,5.5,10.0,9.3,10.9,16.5,no,yes,yes,yes,1268671.0,,3600.0,,53.66,63875.0,0.0,0.0,2967.73
TON,EAS,MiddleUpperIncome,51.3,5.9,9.0,8.9,7.4,13.4,no,yes,yes,yes,104951.0,,300.0,,102.23,17238.20175,0.0,0.0,3870.74
TTO,LCN,HighIncome,27.15,10.15,3.74,17.19,22.6,19.17,yes,yes,yes,yes,1328100.0,,71.07,123914.1,250.753,727874.0,0.8,0.0,16203.56
TUN,MEA,LowMiddleIncome,68.0,2.0,4.0,5.0,10.0,11.0,yes,yes,yes,yes,11143908.0,,90000.0,150000.0,16000.0,2700000.0,5.0,4.0,4368.49
TUV,EAS,MiddleUpperIncome,43.6,5.5,10.0,9.3,10.9,16.5,no,yes,yes,no,11097.0,,10.0,,5.72,3989.4865,0.0,15.0,3533.94
USA,NAC,HighIncome,14.9,4.4,9.0,3.2,26.6,12.9,yes,yes,yes,yes,318563456.0,534000000.0,2440000.0,28800000.0,2600000.0,258000000.0,0.0,34.6,53114.47
VNM,EAS,LowMiddleIncome,61.9,2.18,0.58,15.18,5.2,12.15,no,yes,yes,yes,86932500.0,,141000.0,2995153.5,200000.0,9570300.0,15.0,23.0,1887.73
VUT,EAS,LowMiddleIncome,73.4,5.4,3.8,5.7,4.05,6.45,no,yes,yes,yes,270402.0,,300.0,,139.1,70225.489,0.0,37.0,2873.69
WSM,EAS,MiddleUpperIncome,42.6,2.2,8.8,19.4,7.2,13.0,no,yes,yes,yes,187665.0,,500.0,,36.14,27399.09,0.0,36.0,3932.76
XKX,ECS,LowMiddleIncome,42.0,6.0,6.0,20.0,8.0,11.0,yes,yes,yes,yes,1801800.0,217241.0,23.0,495.0,834.0,319000.0,0.0,0.0,3956.75
